Actors,Awards,Box_Office,DVD,Director,Genre,IMDB_ID,IMDB_Rating,IMDB_votes,Language,MetaCritic,Movie,Plot,Production,Rated,Released,Rotten Tomatoes,Runtime,Type,Website,Writers,Year
"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra",15 wins.,"$12,382,287",N/A,Nitesh Tiwari,"Action, Biography, Drama",tt5074352,8.6,"89,807",Hindi,N/A,Dangal,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Aamir Khan Productions,NOT RATED,21 Dec 2016,92%,161 min,movie,N/A,"Piyush Gupta, Shreyas Jain, Nikhil Mehrotra, Rajshri Sudhakar (Dialogue Writer: Telugu), Nitesh Tiwari",2016
"Helen Mirren, Om Puri, Manish Dayal, Charlotte Le Bon",Nominated for 1 Golden Globe. Another 2 wins & 3 nominations.,"$46,214,579",02 Dec 2014,Lasse Hallström,"Comedy, Drama",tt2980648,7.3,"63,692","English, French, Hindi",55,The Hundred-Foot Journey,The Kadam family leaves India for France where they open a restaurant directly across the road from Madame Mallory's Michelin-starred eatery.,Walt Disney Pictures,PG,08 Aug 2014,69%,122 min,movie,http://100footjourneymovie.com/,"Steven Knight (screenplay by), Richard C. Morais (novel)",2014
"Shah Rukh Khan, Mohammed Zeeshan Ayyub",N/A,N/A,N/A,Aanand Rai,Romance,tt6527426,N/A,N/A,Hindi,N/A,Untitled Dwarf Project,N/A,N/A,N/A,21 Dec 2018,,N/A,movie,N/A,N/A,2018
"Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui, Tigmanshu Dhulia",10 wins & 33 nominations.,N/A,N/A,Anurag Kashyap,"Action, Crime, Drama",tt1954470,8.3,"58,706",Hindi,89,Gangs of Wasseypur,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Studio 18,N/A,02 Aug 2012,96%,321 min,movie,http://www.wasseypurworld.com/,"Akhilesh Jaiswal, Anurag Kashyap, Sachin K. Ladia, Zeishan Quadri",2012
"Malavika Mohanan, Ishaan Khattar",N/A,N/A,N/A,Majid Majidi,"Drama, Family",tt3224288,N/A,N/A,English,N/A,Beyond the Clouds,N/A,ZEE Studios International,N/A,N/A,,N/A,movie,http://beyondthecloudsfilm.com/,Majid Majidi,2017
"Rajesh Tailang, Shreedhar Dubey, Zoya Hussain, Ravi Kishan",N/A,N/A,N/A,Anurag Kashyap,Drama,tt7180544,8.2,60,Hindi,N/A,The Brawler,A lower caste boxer struggles to make his mark on the boxing world.,N/A,N/A,12 Jan 2018,,145 min,movie,N/A,"Ranjan Chandel, Anurag Kashyap (screenplay), Prasoon Mishra, Singh Srinet Mukti, K.D. Satyam, Vineet Kumar Singh",2017
"Hugh Bonneville, Gillian Anderson, Manish Dayal, Huma Qureshi",1 win.,"$1,014,067",12 Dec 2017,Gurinder Chadha,"Biography, Drama, History",tt4977530,6.6,"3,756","Panjabi, Hindi, English",53,Viceroy's House,"The final Viceroy of India, Lord Mountbatten, is tasked with overseeing the transition of British India to independence, but meets with conflict as different sides clash in the face of monumental change.",Anguille Productions,NOT RATED,01 Sep 2017,71%,106 min,movie,N/A,"Paul Mayeda Berges (script), Paul Mayeda Berges, Moira Buffini (script), Moira Buffini, Gurinder Chadha",2017
"Shah Rukh Khan, Kajol, Katie A. Keane, Kenton Duty",10 wins & 11 nominations.,"$3,931,456",10 Aug 2010,Karan Johar,Drama,tt1188996,8.0,"83,539","Hindi, Urdu, English",50,My Name Is Khan,"An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President seriously, and embarks on a cross-country journey.",Fox Searchlight,PG-13,12 Feb 2010,83%,165 min,movie,http://www.mynameiskhanthefilm.com,"Shibani Bathija (story and screenplay), Shibani Bathija (dialogue), Niranjan Iyengar (dialogue)",2010
"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia",5 wins & 6 nominations.,"$18,977,072",N/A,S.S. Rajamouli,"Action, Drama, Fantasy",tt4849438,8.4,"56,444","Telugu, Tamil, Hindi, Malayalam",N/A,Baahubali 2: The Conclusion,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",Arka Media Works,NOT RATED,28 Apr 2017,100%,167 min,movie,http://baahubali.com/,"Vijayendra Prasad (story by), S.S. Rajamouli (screenplay by), C.H. Vijay Kumar (telugu dialogue), Ajay Kumar (telugu dialogue), Madhan Karky (tamil dialogue), Manoj Muntashir (hindi dialogue), Mankombu Gopalakrishnan (malayalam dialogue)",2017
"Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani",2 wins & 14 nominations.,"$9,027,790",N/A,Rajkumar Hirani,"Comedy, Drama, Fantasy",tt2338151,8.2,"121,262","Hindi, English, Urdu, Persian, Kurdish",N/A,PK,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,UTV Communications,N/A,19 Dec 2014,79%,153 min,movie,http://pkmovie.in/,"Rajkumar Hirani, Abhijat Joshi",2014
"Shah Rukh Khan, Anushka Sharma Kohli, Björn Freiberg, Martavious Gayles",2 nominations.,"$1,284,740",N/A,Imtiaz Ali,"Comedy, Drama, Romance",tt5997666,5.5,"14,099",Hindi,N/A,Jab Harry met Sejal,A depressed middle-aged tour guide who lives in his own bubble gets another chance to experience and face reality through a chirpy girl.,Yash Raj Films USA,N/A,04 Aug 2017,17%,143 min,movie,N/A,Imtiaz Ali,2017
"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia",22 wins & 12 nominations.,N/A,N/A,S.S. Rajamouli,"Action, Drama, Fantasy",tt2631186,8.2,"85,003","Telugu, Tamil, Hindi",N/A,Baahubali: The Beginning,"In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people.",Arka Media Works,NOT RATED,09 Jul 2015,92%,159 min,movie,http://baahubali.com/,"Vijayendra Prasad (story by), S.S. Rajamouli (screenplay by), C.H. Vijay Kumar (telugu dialogue), Ajay Kumar (telugu dialogue), Madhan Karky (tamil dialogue), Manoj Muntashir (hindi dialogue)",2015
"Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey",Nominated for 1 BAFTA Film Award. Another 29 wins & 35 nominations.,"$4,231,500",01 Jul 2014,Ritesh Batra,"Drama, Romance",tt2350496,7.8,"38,388","Hindi, English",76,The Lunchbox,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,Sony Pictures Classics,PG,20 Sep 2013,96%,104 min,movie,http://www.cinemosaic.net/films/dabba.html,"Ritesh Batra (screenplay), Vasan Bala (hindi dialogue consultant)",2013
"Ajay Devgn, Saurabh Shukla, Ileana D'Cruz, Amit Sial",N/A,N/A,N/A,Raj Kumar Gupta,"Action, Crime, Drama",tt7363076,8.0,"2,016",Hindi,N/A,Raid,A fearless income tax officer raids the mansion of the most powerful man in Lucknow after someone mysteriously draws his attention towards the evidence.,Panorama Studios,NOT RATED,16 Mar 2018,71%,128 min,movie,https://www.facebook.com/RaidTheFilm,Ritesh Shah,2018
"Sarah Wayne Callies, Jeremy Sisto, Sofia Rosinsky, Logan Creran",2 wins & 3 nominations.,N/A,07 Jun 2016,Johannes Roberts,Horror,tt3702652,5.3,"14,413","English, Hindi, Sanskrit",41,The Other Side of the Door,"After her young son is killed in a tragic accident, a woman learns of a ritual which will bring him back to say goodbye, but when she disobeys a sacred warning, she upsets the balance between life and death.",N/A,R,04 Mar 2016,37%,96 min,movie,N/A,"Johannes Roberts, Ernest Riera",2016
"Kareena Kapoor, Sonam Kapoor, Swara Bhaskar, Shikha Talsania",N/A,N/A,N/A,Shashanka Ghosh,Comedy,tt5842616,N/A,N/A,Hindi,N/A,Veere Di Wedding,N/A,N/A,N/A,N/A,,N/A,movie,N/A,N/A,2017
"Tapsee Pannu, Kirti Kulhari, Andrea Tariang, Amitabh Bachchan",8 wins & 7 nominations.,N/A,N/A,Aniruddha Roy Chowdhury,Drama,tt5571734,8.2,"26,684","Hindi, English",N/A,Pink,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",NH Studioz,NOT RATED,16 Sep 2016,100%,136 min,movie,N/A,"Shoojit Sircar (story), Aniruddha Roy Chowdhury (story), Ritesh Shah (story), Ritesh Shah (dialogue), Ritesh Shah (screenplay)",2016
